IDFeature	txtCountry	refIDSite	txtSite	txtType_of_Feature	txtFeature	txtCulture	txtSex	txtAge	txtCommentary	dblLatitude	dblLongitude	txtReference
418	Austria	492	Asparn an der Zaya-Schletz	Grave	19	Notenkopfkeramik (Asparn)	undetermined	Infant 1/2	14C dating of the grave: 6165 ± 35 BP.	48.587222	16.494444	Fehlmann 2011, 45-46
531	Austria	107	Eggenburg	Grave	I	Earliest LPC	Female	Juvenile	The length of the pendants is measured at the outer edge of the round arch.	48.643056	15.816111	Stifft-Gottlieb 1939
532	Austria	107	Eggenburg	Grave	II	Earliest LPC	undetermined	undetermined	The length of the pendants is measured at the outer edge of the round arch.	48.643056	15.816111	Stifft-Gottlieb 1939
478	Austria	495	Hankenfeld-Saladorf	Grave	undetermined	LPC	undetermined	undetermined		48.255278	15.860278	Bayer 1921, 46-47
534	Austria	113	Kleinhadersdorf	Grave	1c	LPC	undetermined	undetermined		48.664167	16.59	Lebzelter and Zimmermann 1936
535	Austria	113	Kleinhadersdorf	Grave	3	LPC	undetermined	Child		48.664167	16.59	Lebzelter and Zimmermann 1936
415	Austria	488	Maissau	Grave	2154	LPC Ib (Mähren)	undetermined	undetermined		48.566667	15.816667	Kultus et al. 2009, 328
533	Austria	115	Pulkau	Grave	undetermined	LPC	undetermined	undetermined	Since the circumstances of the discovery of the Pulkauer grave is ambiguous, the location of the jewellery remains unknown.	48.7	15.85	Stifft-Gottlieb 1939
469	Austria	335	Rutzing	Grave	4	Notenkopfkeramik	undetermined	Infant 2		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
470	Austria	335	Rutzing	Grave	9	Notenkopfkeramik	Female	Adult		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
472	Austria	335	Rutzing	Grave	13	Notenkopfkeramik	Male	Early Adult	Number of Spondylus beads is unknown.	48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
473	Austria	335	Rutzing	Grave	16	Notenkopfkeramik	undetermined	Infant 1		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
474	Austria	335	Rutzing	Grave	18	Notenkopfkeramik	Female	Adult		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
475	Austria	335	Rutzing	Grave	24	Notenkopfkeramik	undetermined	Infant 2	Number of Spondylus beads is unknown.	48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
476	Austria	335	Rutzing	Grave	31	Notenkopfkeramik	undetermined	Infant 2		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
477	Austria	335	Rutzing	Grave	33	Notenkopfkeramik	Female	Juvenile/Adult		48.23646	14.204167	Kloiber and Kneidinger 1970; Anthropological analysis: Kirchengast and Winkler 1994
536	Austria	118	Taborac (Draßburg)	Pit	9a	LPC				47.746111	16.488056	Seewald 1942, 198-199
537	Austria	118	Taborac (Draßburg)	Single find	undetermined	LPC				47.746111	16.488056	Seewald 1942, 198-199
511	Austria	338	Winden am See	Surface find	undetermined	LPC				47.95	16.75	Nowak 1972, 10 Fig. 1
572	Bosnia and Herzegovina	242	Obre I	Layer	2	Starčevo/Impressed Ware				44.1009	18.13611	Benac 1973, 368
569	Bosnia and Herzegovina	243	Obre II	Layer	2	Butmir II/III			The affiliation of the artefacts to a layer is not further explained.	44.10035	18.13808	Benac 1973, 105-106
570	Bosnia and Herzegovina	243	Obre II	Layer	3	Butmir				44.10035	18.13808	Benac 1973, 105-106
571	Bosnia and Herzegovina	243	Obre II	undetermined	undetermined	Butmir				44.10035	18.13808	Benac 1973, 105-106
659	Bulgaria	416	Burgas	undetermined	undetermined	Karanovo III - KGK VII				42.5803	27.429834	Класнаков 2011, 81
12	Bulgaria	7	Durankulak	Grave	2	Hamangia I-III	Male	Adult		43.7	28.516667	Todorova 2002b, plate 1
17	Bulgaria	7	Durankulak	Grave	18	Hamangia I-III	Male	Adult		43.7	28.516667	Todorova 2002b, plate 3
26	Bulgaria	7	Durankulak	Grave	98	Hamangia I-II	undetermined	Adult		43.7	28.516667	Todorova 2002b, plate 8
30	Bulgaria	7	Durankulak	Grave	134	Hamangia I-II	undetermined	Adult		43.7	28.516667	Todorova 2002b, plate 10
32	Bulgaria	7	Durankulak	Grave	149	Hamangia I-II	Male	Adult		43.7	28.516667	Todorova 2002b, plate 11
33	Bulgaria	7	Durankulak	Grave	156	Hamangia I-II	Female	Adult		43.7	28.516667	Todorova 2002b, plate 12
601	Bulgaria	7	Durankulak	Cenotaph	186A	Hamangia I-II				43.7	28.516667	Todorova 2002b, 38 plate 6.14-15
602	Bulgaria	7	Durankulak	Grave	192	Hamangia I-II	Male	Adult	Todorovoa (2002b, 38) describes only some beads made of Spondylus together with seven beads of Malachite around the right wrist.	43.7	28.516667	Todorova 2002b, 38
603	Bulgaria	7	Durankulak	Grave	597A	Hamangia I-II	undetermined	undetermined	Rotten skeleton.	43.7	28.516667	Todorova 2002b, 60 plate 98.19
604	Bulgaria	7	Durankulak	Grave	602	Hamangia I-II	Male	Adult		43.7	28.516667	Todorova 2002b, 61, plate 101.3
605	Bulgaria	7	Durankulak	Grave	604	Hamangia I-II	Female	Adult		43.7	28.516667	Todorova 2002b, 61, plate 102.13
606	Bulgaria	7	Durankulak	Grave	606	Hamangia I-II	Male	Adult		43.7	28.516667	Todorova 2002b, 61, plate 104.4
607	Bulgaria	7	Durankulak	Cenotaph	606A	Hamangia I-II				43.7	28.516667	Todorova 2002b, 61, plate 101.5-7
608	Bulgaria	7	Durankulak	Grave	607	Hamangia I-II	Female	Adult		43.7	28.516667	Todorova 2002b, 61, plate 103.13
609	Bulgaria	7	Durankulak	Grave	611	Hamangia I-II	Female	Adult	While only 24 spondylus beads are described in the catalogue, 27 beads are shown on the plate (Todorova, 2002b, 61 and Tableau 105).	43.7	28.516667	Todorova 2002b, 61, plate 105
610	Bulgaria	7	Durankulak	Grave	614A	Hamangia I-II	undetermined	Infant	Skeleton completely rotten; presumably it is the burial of an infant.	43.7	28.516667	Todorova 2002b, 61, plate 104
611	Bulgaria	7	Durankulak	Grave	631	Hamangia I-II	Male	Adult		43.7	28.516667	Todorova 2002b, 62
612	Bulgaria	7	Durankulak	Grave	632A	Hamangia I-II	undetermined	undetermined	Rotten skeleton.	43.7	28.516667	Todorova 2002b, 62
613	Bulgaria	7	Durankulak	Grave	635A	Hamangia I-II	undetermined	Infant	Rotten skeleton.	43.7	28.516667	Todorova 2002b, 63
614	Bulgaria	7	Durankulak	Grave	643	Hamangia I-II	Male	Adult		43.7	28.516667	Todorova 2002b, 63, plate 110
615	Bulgaria	7	Durankulak	Grave	647	Hamangia I-II	undetermined	Infant 1/2	Skeleton badly preserved.	43.7	28.516667	Todorova 2002b, 63
616	Bulgaria	7	Durankulak	Grave	658	Hamangia I-II	Female	Adult		43.7	28.516667	Todorova 2002b, 64 plate 113
617	Bulgaria	7	Durankulak	Grave	658A	Hamangia I-II	undetermined	Infant	Rotten skeleton.	43.7	28.516667	Todorova 2002b, 64
618	Bulgaria	7	Durankulak	Grave	793	Hamangia I-II	Female	Adult		43.7	28.516667	Todorova 2002b, 70 plate 134
50	Bulgaria	160	Golemata Peštera	undetermined	undetermined	Starčevo				43.116942	25.607742	Gaul 1948, 41
661	Bulgaria	232	Gradešnica, Malo Pole	undetermined	undetermined	Before-Karanovo I - Karanovo V				43.483333	23.483333	Chapman and Kostov 2010, 71; Müller 1997, 100; Shackleton and Renfrew 1970, 1063
54	Bulgaria	374	Gălăbnik	Layer	VII	Karanovo I				42.401874	23.07832	Todorova 2000, 416, Fig. 5
59	Bulgaria	228	Karanovo	undetermined	without stratification	Karanovo I - KGK VI				42.511389	25.915	Biegel and Renfrew 1986, 118; Höglinger 1997, 271
83	Bulgaria	408	Sofia-Slatina	Layer	2	Karanovo I				42.682369	23.374612	Николов 2004, 12 and Fig. 4.11
493	Croatia	498	Barice	Pit	undetermined	Danilo				44.029643	15.615632	Vujević and Horvat 2012
508	Croatia	244	Danilo	undetermined	undetermined	Danilo				43.726782	16.113579	Korošec 1958/59, 209; Kukoč 2012
509	Croatia	146	Grapčeva špilja	Layer	I. E2	Danilo				43.1325	16.751944	Novak 1955, 345, plate CCXLVI; Reinecke 1939, 218
657	Croatia	514	Kargadur	Pit	undetermined	Middle Neolithic (Croatia)				44.845694	13.953769	Komšo 2006
664	Croatia	147	Ražanac	undetermined	undetermined	Late Neolithic (Croatia)				44.281944	15.348056	Kukoč 2012
576	Croatia	241	Smilčić	Grave	undetermined	Danilo	Male	Adult		44.154436	15.706185	Kukoč 2012, 181
